ID,BIO,BIOCAT,CONIFTYP,TCB,TCG,TCW,NLCD
148,126,B,0,1957.12,1557.82,-402.67,41
149,42,A,1,1937.41,1237.77,-533.29,90
150,109,B,0,1807.63,1020.97,-679.96,42
151,47,A,1,2075.2,1464.16,-509.82,90
152,146,B,0,2086.17,1445.56,-628.64,41
153,84,B,1,1675.26,994.37,-495.97,90
154,11,A,0,2529.69,1537.56,-900.86,41
155,59,A,0,2585.06,1555.5,-904.7,41
156,0,A,0,2760.11,2090.6,-753.84,41
157,18,A,0,2897.5,2114.34,-998.19,41
158,0,A,0,3035.8,2023.23,-1007.22,42
159,81,B,0,2584.46,1905.71,-658.66,41
160,80,B,1,1928.07,1186.28,-670.06,90
161,113,B,0,2571.86,1866.32,-745.2,41
162,50,A,0,2839.08,2046.36,-833.58,52
163,72,A,0,2646.21,1877.99,-739.84,41
164,5,A,0,2896.25,1919.39,-892.96,41
165,56,A,0,2751.67,2182.3,-686.57,41
166,74,A,0,2726.47,2001.17,-729.15,41
167,45,A,1,1897.44,1211.87,-537.94,42
168,70,A,1,2176.08,1347.87,-814.9,41
169,8,A,0,2744.28,1740.42,-921.25,71
170,228,C,0,2761.72,1974.49,-765.87,41
171,230,C,0,2992.44,2420.44,-746.21,41
172,83,B,1,1589.08,1041.93,-325.2,90
173,15,A,0,2676.83,1711.8,-844.7,41
174,40,A,1,2041.75,1252.92,-530.61,90
175,4,A,1,2207.97,1033.57,-861.27,90
176,15,A,0,3250.65,2307.2,-992.94,41
177,56,A,0,2451.1,1455.84,-897.94,41
178,47,A,0,2766.92,2224.98,-738.67,41
179,84,B,0,2200.02,1167.23,-944.07,41
180,112,B,0,2159.09,1455.6,-679.24,41
181,86,B,0,2477.92,1792.2,-652.96,41
182,61,A,0,2519.48,1630.55,-1015.8,41
183,86,B,1,1680.88,1284.27,-290.27,90
184,87,B,0,2284.82,1489.59,-729.95,41
185,158,B,0,1856.71,1161.01,-511.87,42
186,11,A,1,2199.9,1080.7,-958.88,90
187,21,A,0,2838.04,2351.52,-638.54,52
188,47,A,0,1980.05,1280.15,-507.09,42
189,12,A,0,2756.68,2040.88,-853.99,41
190,159,B,0,2225.38,1460.06,-709.87,42
191,11,A,1,2149.26,1384.63,-549.01,90
192,8,A,1,2144.92,1223.16,-591.64,90
193,43,A,1,2204.2,1277.54,-682.11,95
194,108,B,0,2870.94,1673.92,-978.32,41
195,52,A,0,2461.64,1782.55,-695.96,41
196,75,A,0,2432.87,1812.85,-663.29,41
197,58,A,1,1792.78,1317.35,-415.04,90
198,84,B,0,2309.31,1679.7,-626.95,42
199,126,B,0,2806.52,2039.74,-805.78,41
200,83,B,1,2326.18,891.82,-1102.65,42
201,38,A,1,2429.66,1362.69,-932.22,52
202,133,B,0,2180.57,1640.22,-598.4,41
203,134,B,0,2319.14,1649.93,-680.28,41
204,35,A,1,2084.97,1557.89,-475,52
205,143,B,1,2020.86,1383.7,-571.43,90
206,98,B,1,1836.48,1328.22,-413.87,42
207,122,B,0,2672.23,2155.51,-679.3,41
208,54,A,0,2291.69,1626.97,-662.2,42
209,104,B,0,2462.36,1879.43,-668.76,41
210,49,A,1,1913.67,1258.02,-525.14,90
211,82,B,1,2099.32,1383.04,-575.2,42
212,35,A,0,2330.4,1470.41,-829.04,42
213,33,A,0,2872.95,1363.15,-1286.98,41
214,179,C,0,2388.02,1976.36,-502,42
215,14,A,0,2796.98,1683.02,-1034.36,52
216,124,B,0,2401.52,1848.24,-642.33,41
217,43,A,1,2368.98,1747.98,-621.61,42
218,0,A,1,3188.15,1707.15,-1427.08,52
219,100,B,0,2440.55,1408.68,-1031.3,41
220,19,A,1,2234.01,1361.84,-670.53,42
221,46,A,1,2307.63,1298.5,-909.55,41
222,63,A,0,2322.3,1601.92,-701.34,42
223,35,A,0,2831.77,2018.83,-740.29,41
224,128,B,0,2235.45,1534.71,-630.29,42
225,79,A,1,1888.63,1102.78,-668.3,42
226,17,A,0,2311.02,1538.02,-705.32,41
227,162,C,1,2036.06,1563.33,-418.5,90
228,58,A,1,1934.06,1452.03,-429.63,42
229,65,A,0,2428.17,1580.72,-841.49,41
230,13,A,1,2261.98,1109.5,-793.47,90
231,75,A,0,2623.77,1910.74,-791.7,41
232,93,B,0,2578.08,1464.97,-894.2,95
233,94,B,0,2400.41,1866.38,-558.14,42
234,108,B,0,2204.46,1433.31,-734.76,41
235,200,C,1,1951.14,1372.07,-360.77,42
236,23,A,0,2464.14,1800.52,-755.69,41
237,40,A,1,2023.72,1413.24,-528.96,41
238,31,A,0,2740.58,2130.53,-734.18,41
239,79,A,0,2295.21,1204.5,-954.65,41
240,79,A,1,2127.44,1388.7,-773,42
241,20,A,0,2349.47,1269.62,-981.61,41
242,25,A,0,2570.68,1182.5,-1213.54,52
243,50,A,0,1972.9,1323.6,-531.74,42
244,20,A,0,2632.73,1906.41,-708.6,42
245,14,A,0,2266.65,1463.33,-857.34,42
246,88,B,0,2612.13,1689.69,-896.98,41
247,54,A,1,2390.35,1603.9,-806.78,41
248,87,B,1,1325.39,895.95,-122.1,42
249,104,B,1,1341.8,982.14,-175.38,11
250,76,A,0,2431.76,1852.15,-646.1,41
251,104,B,0,2371.64,1739.94,-530.86,41
252,50,A,1,2205.2,862.7,-1168.2,90
253,98,B,0,1997.95,1292.68,-687.77,41
254,66,A,0,2563.87,2070.87,-662.04,41
255,41,A,0,2828.33,1810.25,-1111.63,52
256,132,B,0,2876.15,2255.29,-686.62,41
257,108,B,0,2763.72,1960.52,-731.46,41
258,144,B,0,2499.52,1782.33,-539.3,42
259,33,A,0,2822.48,1778.69,-1025.6,41
260,0,A,1,2176.55,1432.43,-609.84,90
261,0,A,0,2690.87,1283.27,-1010.78,90
262,73,A,0,2017.89,1564.85,-430.42,42
263,63,A,1,1959.88,1232.3,-531.58,42
264,42,A,0,2063.72,1620.33,-493.33,42
265,89,B,1,2098.37,1477.68,-597.24,41
266,16,A,0,3333.86,2312.51,-1131.84,41
267,70,A,0,2415.49,1756.89,-600.8,41
268,74,A,1,1852.8,1130.58,-594.88,90
269,51,A,0,2470.82,1679.6,-803.04,52
270,8,A,1,2500.09,1481.25,-1010.74,41
271,30,A,0,2393.39,1395.43,-875.71,41
272,12,A,0,2576.93,1766.4,-821.04,71
273,11,A,1,2073.22,1085,-703.84,90
274,14,A,1,1938.27,1044.42,-543.75,90
275,62,A,1,2173.84,1380.55,-814.42,41
276,85,B,0,2119.18,1552.97,-559.84,42
277,42,A,1,1802.93,981.09,-535.98,90
278,6,A,0,3195.92,2069.35,-1186.42,41
279,52,A,0,2035.59,1619.23,-410.17,42
280,35,A,0,2437.9,1195.79,-1109.63,52
281,212,C,0,2586.37,1977.15,-757.76,41
282,20,A,0,3112.61,2554.32,-728.12,41
283,78,A,1,1708.1,1238.55,-452.7,90
284,161,C,1,2156.69,1720,-431.37,42
285,170,C,0,2588.15,1885.66,-657.25,41
286,116,B,0,2770.82,2077.17,-688.96,41
287,21,A,1,1869.03,1036.46,-429.68,90
288,56,A,1,2160.7,1545.29,-599.01,90
289,1,A,1,2595.19,1665.47,-745.44,90
290,13,A,0,3257.51,1506.63,-1503.61,41
291,115,B,0,2630.91,2038.6,-671.93,41
292,150,B,0,2694.32,2069.77,-611.78,41
293,12,A,1,2711.84,1857.59,-810.87,41
294,81,B,0,2784.01,2032.25,-791.44,41
295,6,A,0,2437.66,1685.6,-740.88,41
296,47,A,0,2207.62,1502.7,-692.04,41
297,13,A,1,2887.39,1652.9,-910.45,90
298,57,A,0,2434.49,1802.43,-636.24,42
299,149,B,1,2108.97,1531.37,-436.39,42
300,53,A,0,2199.25,1249.67,-820.86,42
301,38,A,1,1691.87,1045.78,-509.18,42
302,50,A,1,1862.37,1623.61,-120.8,42
303,2,A,1,2673.29,1142.43,-1280.14,95
304,97,B,0,2631.62,1760.44,-584.06,41
305,82,B,0,2223.67,1627.28,-648.98,41
306,0,A,0,2872.17,955.12,-1802.61,41
307,125,B,0,2810.36,1834.81,-924.64,41
308,98,B,1,2149.45,1487.23,-633.76,42
309,36,A,1,2059.36,1575.79,-433.91,42
310,23,A,0,2638.8,2301.49,-517.38,41
311,58,A,0,1841.69,1269.37,-470.81,42
312,18,A,1,1864.02,1379.74,-364.97,42
313,42,A,1,2325.47,1778.9,-557.68,41
314,158,B,1,2544.18,1804.99,-667,42
315,3,A,0,2219.15,1639.21,-589.9,41
316,72,A,1,1634.49,988.74,-340.19,90
317,184,C,0,2718.93,1901.35,-828.83,41
318,109,B,1,1427.09,868.82,-305.28,90
319,75,A,1,1800.22,1317.69,-377.54,42
320,3,A,1,1975.44,1247.08,-648.2,90
321,67,A,1,1842.53,1221.48,-577.66,90
322,98,B,0,2362.52,1926.27,-578.9,41
323,116,B,0,2344.62,1942.24,-538.95,42
324,85,B,1,2144.66,1250.7,-779.54,90
325,80,B,0,2601.89,2070.86,-702.65,71
326,52,A,0,2164.07,1521.57,-565.76,42
327,59,A,0,2907.46,2252.84,-741.72,42
328,1,A,0,2991.31,2311.55,-835.5,41
329,57,A,1,2042.44,1202.81,-734.76,90
330,81,B,0,2303.99,1603.65,-717.82,41
331,21,A,0,3019.36,2213.78,-847.1,41
332,64,A,1,2073.69,1554.67,-504.18,42
333,120,B,1,2292.46,1725.69,-667.94,41
334,16,A,0,2869.99,2129.96,-790.09,41
335,86,B,1,1769.22,1122.42,-560.65,42
336,11,A,0,2790.25,1809.1,-918.91,41
337,108,B,0,1781.45,1107.66,-596.27,42
338,78,A,0,3343.39,2606.33,-797.23,41
339,151,B,0,2699.81,1821.63,-744.7,41
340,122,B,0,2648.09,2195.05,-596.82,41
341,71,A,0,2281.04,1807.12,-535.63,41
342,78,A,1,2102.77,1015.72,-909.2,42
343,65,A,0,2506.76,1592.68,-853.86,41
344,57,A,1,3118.57,1604.01,-1513.43,90
345,37,A,0,2469.62,1865.55,-669.68,41
346,62,A,0,2637.76,1777.83,-933.67,41
347,25,A,0,2329.29,1431.68,-855.28,41
348,58,A,0,2345.08,1474.4,-780.06,41
349,2,A,1,2437.17,1196.81,-867.04,42
350,85,B,1,2147.79,1380.84,-617.23,90
351,52,A,1,1708.63,1126.69,-301.95,90
352,15,A,1,2233.6,1072.06,-783.18,90
353,9,A,1,2095.55,1312.98,-736.72,90
354,94,B,1,1801.29,1393.11,-377.15,42
355,114,B,1,1479.33,1041.65,-226.09,42
356,81,B,0,2336.82,1660.89,-650.31,41
357,102,B,0,2383.06,1905.21,-482.32,42
358,53,A,1,1513.57,983.82,-355.1,42
359,67,A,1,1997.03,1423.35,-450.68,41
360,40,A,0,2069.25,1568.27,-438.94,42
361,97,B,0,2447.67,1660.87,-794.67,41
362,80,B,1,1619.71,1041.28,-297.75,90
363,48,A,1,1692.56,978.28,-463.74,90
364,83,B,0,2311.77,1575.52,-707.5,41
365,207,C,1,1738.34,1441.39,-177.73,42
366,100,B,0,3448.47,2511.2,-806.31,42
367,29,A,1,2063.47,1379.99,-754.26,41
368,75,A,0,2169.4,1413.18,-807.36,95
369,91,B,0,2464.07,1584.09,-795.99,41
370,16,A,1,2329.34,1561.77,-755.16,42
371,81,B,1,1711.6,1014.18,-487.61,42
372,119,B,0,2099.2,1331.92,-615.15,42
373,136,B,1,2050.13,1331.51,-661.79,90
374,21,A,1,2392.88,1328.58,-968.45,95
375,26,A,1,1886.75,1348.7,-491.52,42
376,30,A,1,1894.76,1225.83,-489.59,90
377,52,A,0,2472.27,1985.23,-529.87,41
378,34,A,1,1820.63,1013.18,-509.87,90
379,21,A,1,2221.32,1164.79,-985.6,90
380,5,A,1,2164.92,1247.21,-633.06,90
381,28,A,0,2889.16,2357.63,-689.88,41
382,38,A,1,2043.54,1346.39,-685.41,90
383,69,A,1,2219.08,1575.42,-571.29,41
384,3,A,1,2569.27,1800.39,-852.38,41
385,111,B,0,2156.1,1513.57,-630.28,41
386,41,A,1,2244.32,1462.92,-731.16,42
387,30,A,0,2217.07,1009.57,-1113,41
388,58,A,1,2345.29,1638.92,-691.84,90
389,11,A,1,2049.16,1114.47,-699.02,42
390,11,A,1,2249.33,1339.5,-670.24,90
391,77,A,0,2315.71,1552.95,-709.54,41
392,15,A,1,1680.14,1064.95,-413.63,90
393,123,B,1,1939.19,1247.98,-563.24,42
394,78,A,0,2362.62,1913.82,-602.16,41
395,13,A,1,2084.31,1024.81,-770.42,90
396,42,A,1,2101.45,1177.97,-667.39,90
397,143,B,1,2103.87,1636.03,-357.93,41
398,47,A,0,2473.59,1513.33,-981.24,41
399,104,B,1,2087.64,1626.35,-403.27,42
400,90,B,0,2453.15,1579,-770.59,41
401,46,A,1,1866.92,1019.73,-688.21,42
402,49,A,1,2282.2,1657.76,-532.27,42
403,49,A,0,2507.63,1911.7,-613.96,41
404,61,A,1,1872.92,1216.77,-573.27,42
405,65,A,0,2525.43,1733.49,-714.35,41
406,70,A,1,1823.46,1036.8,-482.51,90
407,68,A,0,2416.59,1702.16,-739.48,90
408,43,A,0,2746.49,2318.39,-585.76,41
409,6,A,1,2329.11,1341.67,-689.83,90
410,86,B,0,2414.63,1751.57,-683.94,42
411,33,A,0,2466.58,1602.47,-834.51,52
412,87,B,0,2169.85,1623,-570.86,41
413,93,B,1,1598.45,1086.8,-305.48,42
414,80,B,1,1614.31,1008.28,-319.28,90
415,74,A,1,1530.92,960.3,-331.84,52
416,147,B,0,2586.55,1894.44,-768.42,41
417,1,A,1,2331.81,1155.58,-974.09,90
418,19,A,1,2426.95,1673.51,-810.46,41
419,0,A,0,3170.69,2107.99,-1002.29,41
420,40,A,1,1825.82,998.67,-556.69,42
421,30,A,1,2206.47,1473.95,-621.04,90
422,71,A,1,2076.84,1612.13,-390.2,42
423,15,A,0,2388.77,1546.7,-868.72,52
424,139,B,0,2150.93,1703.87,-476.37,42
425,127,B,1,2587.59,1959.44,-723.24,41
426,93,B,1,1697.98,1140.12,-339.18,90
427,54,A,0,2435.55,1559.91,-855.04,52
428,31,A,1,2303.41,1664.76,-694.38,41
429,101,B,0,2652,1898.27,-796.83,41
430,73,A,0,2640.16,1893.19,-776.65,41
431,0,A,1,2378.87,1381.02,-838.97,41
432,76,A,0,2274.36,1704.58,-624.16,42
433,21,A,0,2558.68,1717.34,-727.63,42
434,16,A,0,2719.65,1835.12,-821.13,52
435,89,B,0,2725.54,2233.03,-679.06,41
436,170,C,0,3166.29,2536.2,-844.1,41
437,7,A,0,2715.38,1662.02,-1145.19,41
438,29,A,1,2367.73,1551.58,-695.13,52
439,66,A,0,2290.39,1295.96,-794.28,90
440,80,B,0,2284.84,1527.41,-788.87,42
441,14,A,0,2662.01,1920.53,-886.33,52
442,20,A,1,2408.63,1407.18,-1040.73,42
443,2,A,1,2357.6,1259.14,-809.62,95
444,119,B,0,2319.79,1719.34,-702.67,41
445,13,A,0,2579.91,1557.34,-899.79,41
446,101,B,0,2530.91,1961.89,-665.73,41
447,8,A,1,2745.39,1347.43,-1170.86,95
448,82,B,1,2397.25,1620.86,-550.02,42
449,179,C,1,2068.6,1482.31,-521.27,90
450,22,A,1,2145.61,1368.95,-458.55,90
451,53,A,1,1986.37,1373.98,-544.68,42
452,53,A,0,2666.6,1650.23,-968.81,41
453,62,A,0,2245.96,1493.74,-679.68,41
454,5,A,1,2272.15,1005.48,-932.13,90
455,11,A,0,3000.01,2168.35,-864.89,71
456,7,A,0,2663.98,1955.71,-739.3,71
457,120,B,1,1636.17,996.94,-383.03,90
458,154,B,0,2294.19,1485.04,-716.11,41
459,113,B,0,2516.73,1760.1,-645.08,41
460,136,B,0,2406.84,1508.89,-893.2,42
461,151,B,0,2675.62,2316.16,-544,41
462,99,B,1,1633.56,1128.02,-441.05,42
463,150,B,1,2397.19,1414.8,-858.51,42
464,33,A,1,2019.58,1332.37,-675.88,42
465,74,A,0,2540.27,1666.48,-873.54,41
466,42,A,1,1781.86,1167.57,-529.17,42
467,91,B,0,2152.26,1445.43,-615.11,41
468,77,A,1,2198.92,1481.36,-796.59,41
469,142,B,0,2253.33,1359.51,-860.1,41
470,39,A,0,2398.19,1504.14,-927.6,42
471,143,B,0,2258.45,1764.44,-514.52,42
472,5,A,1,2398.99,1428.13,-829.58,90
473,104,B,0,2207.65,1520.69,-673.84,41
474,200,C,0,2368.29,1468.34,-832.03,41
475,62,A,0,2270.29,1604.51,-627.82,42
476,123,B,0,2169.72,1703.63,-497.95,90
477,43,A,1,1916.73,1292.47,-505.68,42
478,118,B,0,2459.36,1873.09,-548.21,41
479,45,A,1,1421.19,947.51,-354.52,90
480,2,A,0,2694.41,1608.24,-907.11,95
481,49,A,1,1688.99,1016.66,-366.83,90
482,104,B,0,2077.56,1409.2,-576.42,41
483,14,A,1,2073.54,1159.99,-845.74,90
484,54,A,1,1719.69,1083.98,-443.6,90
485,0,A,0,2135.3,1291.06,-799.12,42
486,44,A,1,2470.79,1806.01,-510.54,42
487,52,A,0,2288.46,1643.75,-664.23,42
488,42,A,1,2313.52,1680.26,-681.96,42
489,192,C,0,2831.13,2264.56,-666.98,41
490,107,B,0,2100.56,1604.63,-455.01,41
491,94,B,0,2451.75,1912.37,-602.99,41
492,45,A,1,1646.07,1083.31,-458.11,42
493,193,C,0,2992.11,2376.27,-709.92,41
494,76,A,1,2153.87,1506.76,-573.11,42
495,3,A,0,2486.51,1306.31,-1083.03,52
496,16,A,1,2415.42,1657.27,-640.95,90
497,1,A,1,2973.47,2130.18,-821.75,71
498,46,A,0,2321.21,1761.26,-629.38,90
499,19,A,0,2737.28,1991.24,-696.43,42
500,2,A,0,2614.95,1626.11,-982.39,41
501,14,A,1,2288.4,1670.46,-654.09,41
502,41,A,1,1632.21,945.35,-580.4,42
503,87,B,0,2211.9,1321.66,-813.95,42
504,10,A,1,2064.11,1124.49,-679.02,42
505,120,B,0,3029.33,2551.68,-661.38,41
506,45,A,0,1912.98,1109.77,-701.83,42
507,113,B,1,2028.39,1504.19,-438.36,42
508,10,A,0,3045,2342.64,-736.73,71
509,110,B,0,2219.78,1473.58,-681.73,41
510,51,A,1,2216.02,1328.21,-753.76,42
511,84,B,0,2267.56,1694.57,-516.23,42
512,88,B,0,2385.41,1942.01,-593.13,41
513,86,B,1,1620.42,1030.9,-456.52,90
514,8,A,0,2968.31,1724.13,-1270.32,41
515,0,A,1,2034.63,404.15,-1059.06,95
516,12,A,0,2701.12,2079.7,-741.85,41
517,21,A,0,2362.45,1832.12,-569.89,41
518,88,B,1,2251.7,1739.17,-398.5,42
519,20,A,1,1867.3,1103.06,-594.92,42
520,51,A,0,2664.53,1839.54,-878.97,41
521,0,A,0,2760.1,1732.06,-1000.4,42
522,54,A,0,2542.62,1825.26,-730.91,42
523,35,A,0,2423.91,1523.72,-867.4,41
524,57,A,1,1649.71,982.43,-557.2,90
525,15,A,1,1936.29,979.07,-688.72,90
526,82,B,0,2338.04,1535.99,-766.36,42
527,74,A,1,1936.67,1442.38,-430.12,42
528,9,A,1,2303.72,1128.11,-820.86,90
529,114,B,0,2223.7,1761.17,-501.52,42
530,60,A,0,2174.82,1141.31,-938.26,41
531,53,A,1,1765.49,1281.93,-351.28,42
532,62,A,1,1536.89,1051.48,-262.69,90
533,113,B,0,2528.6,1947.05,-655.86,42
534,181,C,0,2912.61,2333.42,-726.54,41
535,57,A,0,2546.83,1837.1,-690.62,41
536,77,A,0,2169.82,1280.04,-792.75,41
537,57,A,0,2261.31,1608.88,-676.63,41
538,59,A,1,1938.42,1163.79,-487.6,90
539,152,B,0,2796.25,2247.31,-564.13,41
540,87,B,0,2072.72,1370.85,-736.93,41
541,163,C,0,2934.71,2365.3,-685.01,41
542,43,A,0,2487.97,1807.3,-695.79,41
543,29,A,0,2161.86,1099.13,-993.81,43
544,14,A,0,2755.58,1833.24,-814.97,41
545,148,B,1,2040.27,1053.75,-875.58,42
546,26,A,1,2182.25,1232.18,-833.2,42
547,22,A,1,1955.88,1333.49,-477.94,42
548,60,A,0,1980.46,1265.03,-633.54,42
549,128,B,0,2109.25,1613.62,-433.43,41
550,147,B,0,2576.07,2079.55,-622.55,41
551,12,A,0,2962.09,2365.62,-750.89,41
552,42,A,0,2121.02,1402.35,-706.62,42
553,96,B,1,1579.21,1149.08,-284.88,42
554,31,A,0,2900.55,2186.72,-799.25,41
555,40,A,0,2503.06,1749.37,-846.25,41
556,0,A,0,3206.43,1742.58,-1126.29,41
557,46,A,1,2108.73,1463.77,-604.03,41
